OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
34473,1969,CA,CDF,TUU,CARANTON,4279,1997/05/17 00:00:00+00,,2,,,165.45003,,1,52,4291.907101,-1025917.695
34474,1969,CA,CDF,TUU,LEWIS,0,1997/06/06 00:00:00+00,,2,,,400.83792,,1,5071,6188.350823,-2494834.365
34475,1969,CA,CDF,LNU,MARKLEY,3038,1997/08/03 00:00:00+00,,4,,,333.60056,,1,226,6896.819581,-2208752.283
34476,1969,CA,CCO,ORC,SANTIAGO,44623,1997/09/02 00:00:00+00,,10,,,338.13794,,1,0,7271.941904,-1982119.75
34477,1969,CA,BLM,CDD,MESQUITE,6806,2006/07/09 00:00:00+00,2006/07/11 00:00:00+00,1, ,586,584.88806,2,1,0000CXLO,8424.210438,-3599267.071
34478,1969,CA,BLM,BBD,BODFISH,162807,2006/08/13 00:00:00+00,2006/08/13 00:00:00+00,14, ,49,49.065533,1,1,162807,3274.977325,-301174.3671
34479,1969,CA,USF,MNF,SAN HEDRIN,0,1998/08/04 00:00:00+00,1998/08/05 00:00:00+00,7,,15,4.9889383,8,1,11,758.1569543,-33957.83618
34480,1969,CA,USF,MNF,HAUL,0,1998/09/01 00:00:00+00,1998/09/05 00:00:00+00,7,,164,163.9664,8,1,33,6198.715203,-1113046.595
34481,1969,CA,CCO,VNC,SOUTH MOUNTAIN,0,1998/11/04 00:00:00+00,,14,,,116.99369,,1,0,3832.985736,-695232.7964
34482,1969,CA,CCO,KRN,TEJON,0,1999/07/17 00:00:00+00,,10,,,286.3219,,1,0,6179.063602,-1727353.87
34483,1969,CA,CCO,KRN,DIGIER,0,1999/06/29 00:00:00+00,,10,,,649.98523,,1,0,13996.73308,-3918194.287
34484,1969,CA,CDF,MMU,PEDRO FIRE,14490,1999/10/14 00:00:00+00,,14,,,176.96478,,1,0,4568.605772,-1143756.198
34485,1969,CA,CDF,MMU,MERCED FIRE,12157,1999/08/30 00:00:00+00,,14,,,713.0968,,1,0,13009.27533,-4607536.816
34486,1969,CA,CDF,MMU,ROMERO,8023,1999/06/18 00:00:00+00,,14,,,1776.5679,,1,0,17770.98917,-11324691.05
34487,1969,CA,CDF,MMU,COULTERVILLE,12161,1999/09/01 00:00:00+00,,14,,,542.84167,,1,0,11063.41171,-3515438.858
34488,1969,CA,CDF,MMU,49 FIRE,9613,1999/07/14 00:00:00+00,,14,,,392.30634,,1,0,6914.944447,-2539131.558
34489,1969,CA,CDF,NEU,FLORISTON,9367,1999/07/11 00:00:00+00,1999/07/11 00:00:00+00,7,,,283.32291,8,1,532,6244.425871,-1922111.454
34490,1969,CA,CDF,SCU,MODESTO ENERGY,3643,,,11,,,49.783081,,1,340,2410.712108,-321089.5399
34491,1969,CA,CDF,SCU,FORUS,1987,,,2,,,129.36623,,1,140,4743.487448,-839266.9117
34492,1969,CA,CDF,SCU,GREENRIDGE,2360,,,11,,,100.02747,,1,192,4476.15409,-649311.6967
34493,1969,CA,CDF,SCU,MODESTO ENERGY #2,3749,,,9,,,1200.434,,1,350,15901.0069,-7740769.023
34494,1969,CA,CDF,SCU,CAR,3738,,,10,,,450.06717,,1,346,7237.864673,-2914608.703
34495,1969,CA,CDF,SCU,DYER,1895,,,11,,,116.00347,,1,128,3484.190952,-752603.4111
34496,1969,CA,CDF,SCU,MALECH,3297,,,2,,,1200.1917,,1,297,13775.59586,-7672801.171
34497,1969,CA,CDF,SLU,HIGH FIRE,2955,1999/07/19 00:00:00+00,,14,,,41.076111,,1,106,2229.721703,-249552.866
34498,1969,CA,CDF,SLU,EL POMAR,2826,1999/07/12 00:00:00+00,,14,,,12.243209,,1,104,1079.896905,-75016.79303
34499,1969,CA,CCO,KRN,ROUND MTN.,0,1993/05/10 00:00:00+00,,11,,,833.18121,,1,0,10045.28829,-5095644.804
34500,1969,CA,CCO,KRN,MEBANE,0,1993/07/28 00:00:00+00,,8,,,519.27368,,1,0,8316.401436,-3174975.395
34501,1969,CA,CCO,KRN,WELLER,0,1993/09/24 00:00:00+00,,2,,,1340.7877,,1,0,12836.96966,-8208175.439
34502,1969,CA,CCO,KRN,POWER,0,1993/05/12 00:00:00+00,,7,,,319.47131,,1,0,6728.66399,-1952430.931
34503,1969,CA,CCO,KRN,SABODAN,0,1993/05/10 00:00:00+00,,2,,,2302.1558,,1,0,19527.47144,-13922872.19
34504,1969,CA,CCO,KRN,CREE,0,1993/06/10 00:00:00+00,,11,,,663.62122,,1,0,8732.214693,-4081283.474
34505,1969,CA,CCO,KRN,ORCHARD,0,1993/06/21 00:00:00+00,,1,,,19969.129,,1,0,49747.88067,-122908871.1
34506,1969,CA,CCO,KRN,RESERVE,0,1993/06/23 00:00:00+00,,14,,,2358.7407,,1,0,16882.44675,-14358062.73
34507,1969,CA,CCO,KRN,TAYLOR,0,1993/07/27 00:00:00+00,,10,,,520.75525,,1,0,8123.549133,-3150258.636
34508,1969,CA,CCO,KRN,EAGLE PEAK,0,1993/09/14 00:00:00+00,,14,,,364.47534,,1,0,7566.531763,-2215808.88
34509,1969,CA,CCO,VNC,STECKEL,0,1993/10/27 00:00:00+00,,14,,265000,27084.615,,1,0,75422.49714,-161319324.3
34510,1969,CA,CCO,LAC,CHATSWORTH FIRE,931516,1993/10/27 00:00:00+00,,14,,,1931.1274,,1,21,19560.73726,-11468165.2
34511,1969,CA,CCO,VNC,GREEN MEADOWS,0,1993/10/26 00:00:00+00,,14,,,38479.125,,1,0,143291.1823,-227746486
34512,1969,CA,USF,LPF,WHEEL,0,1993/10/27 00:00:00+00,1993/11/01 00:00:00+00,9,,1650,1475.5551,8,1,43,14491.17212,-8815993.741
34513,1969,CA,CDF,TCU,COPPER #1,3181,1994/06/29 00:00:00+00,,10,,,1143.0017,,1,469,17335.6805,-7452125.017
34514,1969,CA,CDF,TCU,COPPER #3,3183,1994/06/29 00:00:00+00,,10,,,277.28387,,1,471,5477.547499,-1811287.774
34515,1969,CA,CDF,TCU,COPPER #8,3209,1994/06/29 00:00:00+00,,10,,,1914.0522,,1,480,16077.97097,-12489824.95
34516,1969,CA,CDF,TCU,WILLIAMS,3701,1994/07/17 00:00:00+00,,14,,,357.04422,,1,578,10424.24067,-2322994.128
34517,1969,CA,CDF,TCU,PARROTTS,3723,1994/07/18 00:00:00+00,,2,,,767.60724,,1,581,9661.272955,-5015687.645
34518,1969,CA,USF,MDF,MEARS,0,1972/08/31 00:00:00+00,1972/09/01 00:00:00+00,6,,19,8.0297718,8,1,84,1195.517402,-58200.24096
34519,1969,CA,USF,SRF, ,0,1994/07/20 00:00:00+00,1994/07/21 00:00:00+00,1,,9,8.9621229,8,1,23,892.6186782,-63243.39751
34520,1969,CA,USF,SRF, ,0,1994/07/21 00:00:00+00,1994/08/03 00:00:00+00,1,,34,33.85664,8,1,24,1730.422729,-237677.2514
34521,1969,CA,USF,SRF, ,0,1994/07/21 00:00:00+00,1994/07/29 00:00:00+00,1,,30,29.872501,8,1,43,1657.243105,-217999.684
34522,1969,CA,USF,SRF, ,0,1994/07/21 00:00:00+00,1994/07/24 00:00:00+00,1,,15,14.935909,8,1,45,1171.531641,-108941.0204
34523,1969,CA,USF,SRF, ,0,1994/09/22 00:00:00+00,1994/09/25 00:00:00+00,2,,72,72.293777,8,1,501657,2521.948536,-504841.9789
34524,1969,CA,USF,SQF, ,0,1980/07/27 00:00:00+00,1980/07/28 00:00:00+00,1,,952,676.29419,8,1,63,9089.350701,-4147183.614
34525,1969,CA,USF,SQF,LEWIS CREEK,0,1980/08/01 00:00:00+00,1980/08/02 00:00:00+00,2,,1450,1923.4811,8,1,112,19995.58801,-11754086.82
34526,1969,CA,USF,SQF, ,0,1980/06/24 00:00:00+00,1980/06/25 00:00:00+00,7,,20,11.775897,8,1,10,1022.429404,-73255.94329
34527,1969,CA,USF,SQF,CALDWELL,0,1980/06/21 00:00:00+00,1980/06/22 00:00:00+00,9,,108,109.64606,8,1,14,3855.4231,-674881.6083
34528,1969,CA,USF,SQF, ,0,1980/07/04 00:00:00+00,1980/07/06 00:00:00+00,10,,709,519.01544,8,1,22,12806.34067,-3174595.905
34529,1969,CA,USF,CNF,YSABEL,0,1992/06/13 00:00:00+00,1992/06/15 00:00:00+00,9,,650,500.58136,8,1,11,8226.179038,-2895017.271
34530,1969,CA,USF,CNF,BODEN,0,1993/05/11 00:00:00+00,1993/05/13 00:00:00+00,9,,1300,1630.2932,8,1,6,14573.96133,-9436576.53
34531,1968,CA,USF,CNF,SECOND,0,1994/06/26 00:00:00+00,1994/07/16 00:00:00+00,9,,5120,5779.103,8,1,16,34176.59804,-33479489.62
34532,1968,CA,USF,MDF,HEATH,0,1980/09/05 00:00:00+00,1980/09/06 00:00:00+00,1,,12,28.408001,8,1,97,1727.438905,-206565.5979
