abbreviation,population
TX,5551447
TX,19340342
TX,5759054
TX,20157531
TX,19740317
TX,5655482
TX,20944499
TX,5906301
TX,20558220
TX,5840211
TX,21319622
TX,5980187
TX,21690325
TX,6060372
TX,22394023
TX,6208259
TX,22030931
TX,6132980
TX,22778123
TX,6290970
TX,23359580
TX,6446798
TX,24309039
TX,6675917
TX,23831983
TX,6565872
TX,7041986
TX,26448193
TX,24801761
TX,6792907
TX,25245178
TX,6879014
TX,6931758
TX,25640909
TX,6985807
TX,26060796
UT,2854871
UT,888578
UT,2814784
UT,881350
UT,873019
UT,2774424
UT,2723421
UT,857853
UT,2900872
UT,896589
UT,2597746
UT,815496
UT,2663029
UT,837258
UT,2525507
UT,789957
UT,2457719
UT,767888
UT,2360137
UT,740483
UT,2401580
UT,751771
UT,2324815
UT,733517
UT,2283715
UT,726819
UT,2203482
UT,715398
UT,2244502
UT,721686
UT,2119784
UT,699528
UT,709386
UT,2165961
UT,687078
UT,2067976
UT,2014179
UT,679636
UT,673935
UT,1960446
UT,648725
UT,1836799
UT,1898404
UT,662968
UT,1779780
UT,637216
UT,627122
UT,1731223
VT,143296
VT,564798
VT,568606
VT,145219
VT,577748
VT,148705
VT,146983
VT,572751
VT,150794
VT,583836
VT,589003
VT,151439
VT,151490
VT,593701
VT,148467
VT,600416
VT,597239
VT,150040
VT,609618
VT,147549
VT,604683
VT,147859
VT,612223
VT,146040
VT,615442
VT,144441
VT,619920
VT,141068
VT,617858
VT,142718
VT,621215
VT,138933
VT,622892
VT,136731
VT,624151
VT,132600
VT,623481
VT,134695
VT,122701
VT,626630
VT,624817
VT,130450
VT,625793
VT,128601
VT,126500
VT,626320
VT,124555
VT,625953
VA,8186628
VA,1861323
VA,8105850
VA,1857585
VA,1855025
VA,8024417
VA,7925937
VA,1845132
VA,8260405
VA,1864535
VA,7751000
VA,1834386
VA,7833496
VA,1838361
VA,7577105
VA,1816270
VA,7673725
VA,1826368
VA,7366977
VA,1782254
VA,7475575
VA,1801958
VA,7286873
VA,1771247
VA,7198362
VA,1754549
VA,7000174
VA,1723125
VA,7105817
VA,1741420
VA,6829183
VA,1683766
VA,1706261
VA,6900918
VA,1664147
VA,6750884
VA,6670693
VA,1649005
VA,1628711
VA,6593139
VA,1581544
VA,6414307
VA,6509630
VA,1604758
VA,6301217
VA,1548258
VA,1520670
VA,6216884
WA,1301545
WA,4903043
WA,5025624
WA,1326527
WA,5278842
WA,1387716
WA,1365480
WA,5160757
WA,1409922
WA,5375161
WA,5481027
WA,1429397
WA,1449613
WA,5569753
WA,1494784
WA,5769562
WA,5674747
WA,1473646
WA,5910512
WA,1516361
WA,5842564
WA,1507824
WA,5985722
WA,1517527
WA,6052349
WA,1517655
WA,6178645
WA,1520751
WA,6104115
WA,1514877
WA,6257305
WA,1523890
WA,6370753
WA,1536926
WA,6562231
WA,1560302
WA,6461587
WA,1549582
WA,1595795
WA,6971406
WA,6667426
WA,1574403
WA,6742256
WA,1581436
WA,1584709
WA,6821481
WA,1588451
WA,6895318
WV,1856680
WV,384030
WV,1855184
WV,385283
WV,387224
WV,1854146
WV,1847775
WV,389036
WV,1854304
WV,381678
WV,1834052
WV,390661
WV,1840310
WV,390210
WV,1827912
WV,390637
WV,1820492
WV,390431
WV,1812295
WV,392460
WV,1816438
WV,391856
WV,1805414
WV,393569
WV,1801481
WV,395307
WV,1811799
WV,406784
WV,1807021
WV,401062
WV,1819113
WV,418037
WV,412793
WV,1815609
WV,422831
WV,1822808
WV,1823700
WV,428790
WV,429128
WV,1820421
WV,433116
WV,1806451
WV,1817539
WV,432364
WV,1798735
WV,433918
WV,436797
WV,1792548
WI,1302869
WI,4904562
WI,4964343
WI,1314855
WI,5084889
WI,1337334
WI,1330555
WI,5025398
WI,1348110
WI,5133678
WI,5184836
WI,1351343
WI,1352877
WI,5229986
WI,1362907
WI,5297673
WI,5266213
WI,1359712
WI,5332666
WI,1367019
WI,5373999
WI,1370440
WI,5406835
WI,1367593
WI,5445162
WI,1365315
WI,5514026
WI,1354643
WI,5479203
WI,1358505
WI,5546166
WI,1349866
WI,5577655
WI,1348785
WI,5640996
WI,1345573
WI,5610775
WI,1348901
WI,1307776
WI,5742713
WI,5669264
WI,1342411
WI,5689060
WI,1336094
WI,1325870
WI,5708785
WI,1316113
WI,5724554
WY,576626
WY,136526
WY,567329
WY,135407
WY,135351
WY,564222
WY,559851
WY,134960
WY,582658
WY,137679
WY,534876
WY,128760
WY,546043
WY,131511
WY,522667
WY,125525
WY,514157
WY,124022
WY,503453
WY,124182
WY,509106
WY,123974
WY,500017
WY,125495
WY,494657
WY,126212
WY,494300
WY,128774
WY,491780
WY,130793
WY,489452
WY,134328
WY,132602
WY,490787
WY,135698
WY,488167
WY,485160
WY,136785
WY,137733
WY,480283
WY,137308
WY,466251
WY,473081
WY,137458
WY,459260
WY,136720
WY,136078
WY,453690
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,NaN
PR,3810605
PR,1089063
PR,3818774
PR,1077566
PR,3823701
PR,1065051
PR,3826878
PR,1035919
PR,3826095
PR,1050615
PR,3821362
PR,1019447
PR,3805214
PR,998543
PR,3782995
PR,973613
PR,3760866
PR,945705
PR,814068
PR,3615086
PR,3740410
PR,920794
PR,3721208
PR,896945
PR,869327
PR,3686580
PR,841740
PR,3651545
USA,64218512
USA,249622814
USA,252980942
USA,65313018
USA,66509177
USA,256514231
USA,259918595
USA,67594938
USA,68640936
USA,263125826
USA,69473140
USA,70233512
USA,266278403
USA,269394291
USA,272646932
USA,70920738
USA,71431406
USA,275854116
USA,71946051
USA,282162411
USA,72376189
USA,279040181
USA,284968955
USA,72671175
USA,287625193
USA,72936457
USA,290107933
USA,73100758
USA,292805298
USA,73297735
USA,295516599
USA,73523669
USA,298379912
USA,73757714
USA,301231207
USA,74019405
USA,304093966
USA,74104602
USA,73585872
USA,316128839
USA,306771529
USA,74134167
USA,74119556
USA,309326295
USA,73902222
USA,311582564
USA,73708179
USA,313873685
