abbreviation,population
FL,19083482
FL,4012421
FL,19320749
GA,9915646
GA,2487831
GA,2488898
GA,9810181
GA,2490884
GA,9713248
GA,9992167
GA,9620846
GA,2485781
GA,2489709
GA,9349988
GA,2456249
GA,9504843
GA,2479097
GA,8925922
GA,2353604
GA,9155813
GA,2406014
GA,8622793
GA,2278710
GA,8769252
GA,2308855
GA,8377038
GA,2215390
GA,8508256
GA,2249784
GA,8045965
GA,2130698
GA,8227303
GA,2176576
GA,7685099
GA,2034163
GA,2078998
GA,7863536
GA,1993171
GA,7501069
GA,7328413
GA,1949818
GA,1817781
GA,6817203
GA,6978240
GA,1865021
GA,1906539
GA,7157165
GA,6653005
GA,1773675
GA,1747363
GA,6512602
HI,279983
HI,1113491
HI,1136754
HI,287871
HI,307517
HI,1187536
HI,1172838
HI,301473
HI,295124
HI,1158613
HI,1196854
HI,310325
HI,311213
HI,1203755
HI,304576
HI,1215233
HI,1211640
HI,309465
HI,1213519
HI,295352
HI,1210300
HI,299680
HI,1239613
HI,293600
HI,1225948
HI,294133
HI,1273569
HI,298103
HI,1251154
HI,294519
HI,1309731
HI,299313
HI,1292729
HI,298497
HI,1332213
HI,301094
HI,1315675
HI,300207
HI,307266
HI,1346717
HI,302796
HI,1404054
HI,1363731
HI,303812
HI,1376897
HI,305396
HI,305981
HI,1390090
ID,1595590
ID,427177
ID,428535
ID,1583930
ID,428961
ID,1570718
ID,1612136
ID,1554439
ID,426076
ID,427781
ID,1505105
ID,415024
ID,1534320
ID,422347
ID,1428241
ID,394651
ID,1468669
ID,404753
ID,1363380
ID,379241
ID,1391802
ID,384692
ID,1319962
ID,373145
ID,1340372
ID,375986
ID,1275674
ID,366689
ID,1299430
ID,370430
ID,1228520
ID,357779
ID,362189
ID,1252330
ID,353824
ID,1203083
ID,1177322
ID,349248
ID,324972
ID,1071685
ID,1108768
ID,333838
ID,344242
ID,1145140
ID,1041316
ID,316732
ID,313373
ID,1012384
IL,2940837
IL,11453316
IL,11568964
IL,2988715
IL,3110938
IL,11912585
IL,11809579
IL,3066541
IL,3033427
IL,11694184
IL,12008437
IL,3152984
IL,3192916
IL,12101997
IL,3225252
IL,12271847
IL,12185715
IL,3222114
IL,12434161
IL,3244944
IL,12359020
IL,3240034
IL,12525556
IL,3238362
IL,12488445
IL,3243617
IL,12589773
IL,3211599
IL,12556006
IL,3225547
IL,12643955
IL,3181246
IL,12609903
IL,3197318
IL,12747038
IL,3153401
IL,12695866
IL,3170134
IL,3023307
IL,12796778
IL,3138406
IL,12882135
IL,12839695
IL,3122092
IL,12855970
IL,3089833
IL,3057042
IL,12868192
IN,6537782
IN,1589655
IN,1598091
IN,6516336
IN,1605883
IN,6489965
IN,6570902
IN,6459325
IN,1609704
IN,1586027
IN,6379599
IN,1609494
IN,6424806
IN,1611494
IN,6278616
IN,1593898
IN,6332669
IN,1603107
IN,6196638
IN,1582560
IN,6233007
IN,1586281
IN,6127760
IN,1579527
IN,6155967
IN,1580814
IN,6044970
IN,1566079
IN,6091866
IN,1574989
IN,5955267
IN,1539270
IN,1551960
IN,5998881
IN,1517961
IN,5906013
IN,5851459
IN,1507916
IN,1461650
IN,5674547
IN,5739019
IN,1473007
IN,1491802
IN,5793526
IN,5616388
IN,1450759
IN,1437209
IN,5557798
IA,719366
IA,2781018
IA,2797613
IA,724446
IA,728397
IA,2850746
IA,2836972
IA,727751
IA,724798
IA,2818401
IA,2867373
IA,726961
IA,729177
IA,2880001
IA,729943
IA,2902872
IA,2891119
IA,729806
IA,2929067
IA,733337
IA,2917634
IA,732671
IA,2934234
IA,723685
IA,2931997
IA,728601
IA,2953635
IA,718708
IA,2941999
IA,720102
IA,2982644
IA,721703
IA,2964454
IA,718488
IA,3016734
IA,725658
IA,2999212
IA,723632
IA,724032
IA,3032870
IA,726969
IA,3090416
IA,3050314
IA,727717
IA,3064102
IA,725522
IA,723917
IA,3075039
KS,2885398
KS,726668
KS,726787
KS,2869548
KS,727729
KS,2858910
KS,2893957
KS,2832704
KS,721841
KS,724092
KS,2783785
KS,711005
KS,2808076
KS,714689
KS,2745299
KS,704689
KS,2762931
KS,705277
KS,2723004
KS,707847
KS,2734373
KS,705456
KS,2702162
KS,710923
KS,2713535
KS,709416
KS,2678338
KS,713022
KS,2693681
KS,713887
KS,2635292
KS,704001
KS,710402
KS,2660598
KS,696298
KS,2614554
KS,2601008
KS,694124
KS,680871
KS,2532395
KS,2556547
KS,687262
KS,693673
KS,2580513
KS,2498722
KS,672033
KS,662641
KS,2481349
KY,945951
KY,3694048
KY,3722328
KY,951512
KY,981439
KY,3849088
KY,3812206
KY,971134
KY,963861
KY,3765469
KY,3887427
KY,984486
KY,987062
KY,3919536
KY,997296
KY,3985391
KY,3952747
KY,1002609
KY,4049021
KY,994984
KY,4018053
KY,996382
KY,4089875
KY,995251
KY,4068132
KY,994105
