State,Year,Quarter,HPI
AL,1986,1,129.63
AL,1986,2,131.99
AL,1986,3,133.54
AL,1986,4,136.07
AL,1987,1,138.19
AL,1987,2,139.24
AL,1987,3,139.83
AL,1987,4,138.47
AL,1988,1,142.15
AL,1988,2,143.18
AL,1988,3,142.83
AL,1988,4,141.47
AL,1989,1,141.6
AL,1989,2,143.51
AL,1989,3,145.67
AL,1989,4,146.74
AL,1990,1,145.62
AL,1990,2,146.83
AL,1990,3,147.42
AL,1990,4,147.58
AL,1991,1,148.86
AL,1991,2,151.06
AL,1991,3,151.9
AL,1991,4,154.36
AL,1992,1,155.64
AL,1992,2,155.8
AL,1992,3,158.76
AL,1992,4,160.12
AL,1993,1,161.19
AL,1993,2,162.92
AL,1993,3,165.82
AL,1993,4,167.29
AL,1994,1,168.38
AL,1994,2,170.41
AL,1994,3,171.14
AL,1994,4,171.28
AL,1995,1,172.84
AL,1995,2,176.3
AL,1995,3,179.07
AL,1995,4,180.45
AL,1996,1,183.61
AL,1996,2,183.6
AL,1996,3,183.94
AL,1996,4,186.1
AL,1997,1,188.22
AL,1997,2,189.47
AL,1997,3,192.38
AL,1997,4,194.9
AL,1998,1,198.11
AL,1998,2,199.62
AL,1998,3,201.8
AL,1998,4,204.33
AL,1999,1,204.99
AL,1999,2,205.83
AL,1999,3,206.19
AL,1999,4,207.79
AL,2000,1,208.54
AL,2000,2,210.28
AL,2000,3,211.92
AL,2000,4,214.64
AL,2001,1,220.9
AL,2001,2,221.82
AL,2001,3,223.42
AL,2001,4,225.94
AL,2002,1,226.32
AL,2002,2,227.49
AL,2002,3,230.87
AL,2002,4,233.57
AL,2003,1,235.94
AL,2003,2,238.02
AL,2003,3,239.63
AL,2003,4,241.22
AL,2004,1,243.45
AL,2004,2,245.01
AL,2004,3,249.53
AL,2004,4,253.23
AL,2005,1,256.61
AL,2005,2,262.69
AL,2005,3,268.17
AL,2005,4,273.65
AL,2006,1,279.17
AL,2006,2,283.77
AL,2006,3,288.34
