OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
31221,1959,CA,CDF,BDU,MORTON,0,1959/07/24 00:00:00+00,,14,,,673.95886,,1,252,9360.008626,-3987591.027
31222,1959,CA,USF,BDF,SAND STONE,0,1959/08/11 00:00:00+00,,14,,,12060.828,,1,0,58433.45712,-71835343.8
31223,1959,CA,CDF,BDU,DRY CANYON,0,1959/07/17 00:00:00+00,,14,,,2546.2358,,1,241,24006.56144,-15156926.99
31224,1959,CA,CDF,BDU,STABLE,0,1959/08/02 00:00:00+00,,14,,,11981.358,,1,264,51983.35082,-71229237.93
31225,1959,CA,CDF,BDU,CAJON,0,1959/08/13 00:00:00+00,,14,,,489.59616,,1,283,8301.969874,-2910410.984
31226,1959,CA,USF,ENF,ICE HOUSE(USFS #8),0,1959/10/29 00:00:00+00,,14,,,19099.348,,1,0,75450.90423,-127416197.1
31227,1959,CA,USF,ENF, ,0,,,14,,,78.222572,,1,0,2978.301323,-521695.8591
31228,1959,CA,USF,ENF, ,0,,,14,,,179.89171,,1,0,5254.749864,-1201074.385
31229,1959,CA,USF,ENF, ,0,,,14,,,1377.5096,,1,0,12645.25452,-9130182.866
31230,1959,CA,CDF,SHU,POWER,0,1959/08/17 00:00:00+00,,14,,,736.78107,,1,0,11302.61393,-5196647.875
31231,1959,CA,USF,SHF, ,0,,,9,,,2852.9521,,1,88,28562.59457,-20260106.66
31232,1959,CA,USF,SHF, ,0,,,9,,,203.83205,,1,68,5851.022833,-1445007.77
31233,1959,CA,USF,SHF, ,0,,,9,,,2492.1011,,1,109,18608.41878,-17588956.07
31234,1959,CA,CDF,SKU,BRAZIE,0,1959/07/30 00:00:00+00,,14,,,390.09863,,1,70,8356.030809,-2831136.995
31235,1959,CA,CDF,SHU,JH TRISDALE,0,1959/10/28 00:00:00+00,,14,,,596.16138,,1,0,8301.251415,-4165313.464
31236,1959,CA,CDF,TGU,OWENS,0,1959/06/22 00:00:00+00,,14,,,955.58582,,1,41,12360.11662,-6630766.887
31247,1959,CA,USF,PNF, ,0,,,9,,,1756.3751,,1,66,18455.82621,-12138589.79
31248,1959,CA,USF,PNF, ,0,,,9,,,162.89308,,1,26,4767.66273,-1124629.011
31249,1959,CA,USF,PNF, ,0,,,9,,,6762.4712,,1,80,39267.7834,-46500198.89
31250,1959,CA,USF,PNF, ,0,,,9,,,1679.8903,,1,19,17902.19673,-11519951.11
